shared name,IDs_2,cor_2, pval_2,Extract,p.value.corrected,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
89,553.243 1143 1 (ID: 95),-0.127822483553118,0.663220394017943,0.001200882,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,0.0002461547,0.006717966,0.01217599,0.0001461011,0.00003057695,0.0000329286,0.00005714127,0.00001345431,0.00001665466
90,553.243 883 1 (ID: 269),0.128893097512363,0.660553219633474,0.0002328017,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.00005996308,0.001643471,0.003211794,0.0002666793,0.00001639501,0.00002859379,0.00001762552,0.0000009914479
91,555.309 1898 1 (ID: 1060),-0.219484632968334,0.450887640610107,0.00008108268,1,6.464336E-10,0.003398901,0.0008627271,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,0.0000007818145,2.382878E-11,1.845665E-11
92,559.131 1809 1 (ID: 612),-0.217409983669123,0.455285714820615,0.000103837,1,0.001296126,0.001575941,0.007073012,0.0002020268,0.0003177915,0.000525906,0.00001822399,0.0001102726,0.0006926695,0.0002949682,0.000003665255,0.0002172661,0.0001938228
93,561.280 1566 1 (ID: 446),-0.0914120486273452,0.75595667014469,2.445946E-11,1,6.464336E-10,1.221705E-10,8.650469E-10,0.0001279689,0.00004776636,3.209307E-11,0.003778606,0.0001372338,0.000005758591,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
94,563.296 1291 1 (ID: 164),0.907554668668843,7.36501900414158E-06,0.001640503,0.00432326615543111,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.00007155264,0.0000009429388,0.005335417,0.0002633706,0.0002597726,0.00006539719,0.0001019639
95,563.296 1406 1 (ID: 28),-0.0377140529344433,0.898148487689313,0.00312823,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,0.000005010444,0.00526852,0.02930623,0.006112878,0.0009416857,0.0002412051,0.0002801463,0.0001402477,0.0001949063
96,567.332 1609 1 (ID: 68),-0.0291072134209705,0.921317011864372,0.001137327,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.0001530371,0.01252035,0.001517035,0.0003549446,0.00005491112,0.00007718058,0.00005962005,0.00005466115
97,569.345 1706 1 (ID: 248),-0.0812518039775658,0.782449887922343,0.0003359525,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.0009461823,0.004703181,0.0000735536,0.00008762753,0.00001210703,0.00002257221,0.00001969468,0.00001314435
98,571.254 944 1 (ID: 280),-0.0621936204381965,0.832720276191572,0.0004226765,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.00001060857,0.01368113,0.001985043,0.00006465054,0.00001839311,0.00002241881,0.000022525,0.000001901684
99,571.255 559 1 (ID: 626),0.905633511042207,8.29688606983179E-06,0.0004063763,0.00487027212299126,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.000008380804,2.981473E-11,0.001224686,0.00004489769,0.00005064985,0.0000227105,0.000005661896
100,571.301 1719 1 (ID: 50),0.635206456481731,0.0146493698683356,0.001740932,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.000005859932,0.004821655,0.003082293,0.0001276092,0.0002441935,0.000249286,0.0001014506
101,571.301 1482 1 (ID: 525),0.511612777772875,0.061480077123186,0.0006740097,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,0.002007552,0.0008519862,0.00001608695,0.00002726455,0.00006064028,0.00001070857
102,573.319 1598 1 (ID: 583),0.204553455496732,0.483001079755834,0.0003322476,1,6.464336E-10,1.221705E-10,8.650469E-10,0.00001126123,3.672463E-11,3.209307E-11,3.621885E-11,0.004284035,0.0004326241,0.000009540264,0.00001325995,0.00002848662,1.845665E-11
103,573.319 1808 1 (ID: 531),0.473085031724798,0.0875414696331942,0.0007070357,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.000002111857,0.002867313,0.00112596,0.00002993123,0.00007202058,0.00007107942,0.00002441294
104,575.284 1094 1 (ID: 389),-0.117226833563355,0.689812750067432,0.0001929331,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.001631717,0.00006406631,0.000005352406,3.132689E-11,2.94577E-11,0.000006783499,2.382878E-11,1.845665E-11
105,575.295 1480 1 (ID: 530),0.115878541308428,0.693221352802666,0.00006087083,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.0000606392,0.001643643,0.00002042962,0.00001005335,0.000002192481,2.382878E-11,1.845665E-11
106,577.265 730 1 (ID: 18),-0.0131248920098691,0.964480705750649,0.003721442,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,0.00004897041,2.981473E-11,0.003139657,0.02592816,0.01326339,0.001814557,0.0001822877
107,577.265 644 1 (ID: 652),-0.0755659476134721,0.797374128597747,0.0003376898,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,0.0000007370342,0.005537761,0.000431445,0.0000718497,0.000003355567
